Seq|Data_Center_Code|Type|Model|Size|Description
90000078|90|Net|BIONESS 1.0m|1.0 m|Bioness with 1m frame
90000080|90|Net|Bongo|unknown|Bongo of unknown frame diameter
90000082|90|Net|Bongo 20cm|20 cm|Bongo with 20cm frame diameter
90000181|50|Net|Bongo 40cm|40 cm|
90000175|20|Net|Bongo 49.5cm|49.5 cm|Bongo with 49.5cm inner frame diameter
90000163|20|Net|Bongo 50cm|50 cm|Bongo with 50cm frame diameter
90000179|50|Net|Bongo 56cm|56 cm|
90000180|50|Net|Bongo 58cm|58 cm|
90000081|90|Net|Bongo 60cm|60 cm|Bongo with 60cm frame diameter
90000079|90|Net|Bongo 61cm|61 cm|Bongo with 61cm frame diameter
90000174|20|Net|Bongo 65cm|65 cm|Bongo with 65cm frame diameter; (note: it is unclear if this is an inner or outer diameter measurement; the 61cm bongos used during SSIP have an outer diameter of 65cm)
90000190|20|Net|Clarke-Bumpus Sampler|8 inches diameter|standard sized Clarke-Bumpus sampler; opening/closing net
90000195|20|Net|Clarke-Bumpus Sampler 12.5cm|12.5cm diameter|
90000083|90|Net|CPR||continuous plankton recorder
90000152|90|Net|Hensen net|72 cm|72 cm Hensen net (ICNAF)
90000084|90|Net|HydroBIOS|0.5 m|multinet gear, 0.5M square mouth
90000085|90|Net|Icelandic sampler||Icelandic highspeed plankton sampler (IHSS)
90000086|90|Net|IGYPT trawl||
90000090|90|Net|Issacs Kidd Midwater Trawl||
90000089|90|Net|Issacs Kidd Midwater Trawl 10ft|10 ft|10 ft
90000087|90|Net|Issacs Kidd Midwater Trawl 3ft|3 ft|3 ft
90000088|90|Net|Issacs Kidd Midwater Trawl 6ft|6 ft|6 ft
90000091|90|Net|LHPR||
90000176|20|Net|Lobster 1948 description|mouth size 12' x 3'|mouth of net on surface of water; a net 12 feet in width by 2 feet in depth and 18 feet in length tapered off to 16 inches at the cod end.  Mouth of net attached to a f12 ft by 2ft rame made of 3/4 inch galvanized pipe.
90000177|20|Net|Lobster 1949 description|mouth size 12' x 2'|mouth of net partially above surface of water (floats attached to mouth frame); a net 12 feet in width by 3 feet in depth and 25 feet in length tapered off to 10 inches at the cod end. Mouth of net attached to a f12 ft by 2ft rame made of 3/4 inch galvanized pipe with floats made of 5gal steel oil drums attached to framework
90000214|20|Net|MANTA|70cm|Newston net surface sampler
90000150|90|Net|Miller Sampler||modified version of Hardy Plankton sampler, high speed sampler
90000093|90|Net|MOCNESS||multiple opening and closing net and environmental sensing system
90000188|50|Net|MOCNESS 1.34|1.34|
90000207|20|Net|Multiple Plankton Sampler - Hudson 70||a modified Benthos Multiple Plankton Sampler
90000159|90|Net|Nansen 1m|1 m|
90000151|90|Net|Neuston||Sameoto Box Neuston Net
90000094|90|Net|Neuston Net||
90000042|90|Net|Neuston Net - Oil tow|243 um|Oil tow, 243 um, towed on sea surface for 1 nm, sampled about 740 square meters of sea surface to a depth of 15 - 20 cm, see Levy and Walton, 1971: An evaluation of two neuston samplers.  BIO Rep. 71-9: 10 p.
90000095|90|Net|NIO 1m|1 m|1m
90000096|90|Net|NorPac||unknown size
90000187|50|Net|NorPac 0.42m|0.42m|
90000098|90|Net|OPC experimental||SN (Scott net);  ring net attached to the bottom of the OPC frame
90000109|90|Net|OPC experimental TriNets||net attached directly to the OPC outflow; designed to catch all objects that had passed through the OPC
90000097|90|Net|OPC side nets||bongo nets attached to VOPC on crossbow
90000206|20|Net|Puget Sound o/c net||Opening/Closing ring net used by Dalhousie University during Globec
90000183|50|Net|Ring 0.56m|0.56 m|
90000184|50|Net|Ring 0.58m|0.58 m|
90000101|90|Net|Ring net - flexible ring||flexible rings for pulling through ice-auger holes
90000201|20|Net|Ring net 0.225|0.225 m|1/4m ring diameter
90000191|90|Net|Ring net 0.3m|0.3 m|1/3m ring diameter  (30cm)
90000105|90|Net|Ring net 0.5m|0.5 m|1/2m ring diameter
90000103|90|Net|Ring net 0.5m o/c|0.5 m|1/2m ring diameter; opening and closing net
90000076|90|Net|Ring net 0.5m xbow|0.5 m|1/2m ring diameter; cross bow attachment to wire
90000185|50|Net|Ring net 0.6m|0.6 m|
90000099|90|Net|Ring net 0.75 o/c|0.75 m|3/4m ring diameter; opening and closing net
90000166|90|Net|Ring net 0.75m|0.75 m|3/4m ring diameter
90000100|90|Net|Ring net 0.75m octagonal frame|0.75 m|3/4m frame diameter; octagonal/hexagonal frame
90000102|90|Net|Ring net 0.75m xbow|0.75 m|3/4m ring diameter; cross bow attachment to wire
90000104|90|Net|Ring net 1.0m|1.0 m|1m ring diameter
90000193|30|Net|Ring net 1.0m o/c|1.0 m|1m ring diameter, opening and closing net
90000106|90|Net|RMT 1 + 8 (NIO)||
90000189|50|Net|RMT 3||
90000107|90|Net|RMT 8 (NIO)||
90000108|90|Net|SCOR||
90000186|50|Net|SCOR 0.5m|0.5m|
90000204|20|Net|Specialized surface net|0.5m(w)  x 0.2m(d)|very similar to the design of Mercier (Mercier, F. 1983. Feeding ecology and lipid deposition in migrating Northern Phalaropes in the Quoddy Region, N.B. Unpubl. M.Sc. thesis, Department of Zoology, University of Guelph: 85 pp.)
90000153|90|Net|Stramin 2m|2 m|2 m Stramin net (ICNAF)
90000112|90|Net|Tucker trawl||
90000162|90|Net|Tucker trawl 1m|1 m|1 sq m
90000178|20|Net|Tucker trawl 2.5m|2.5 m|2.5m x 2.5m frame
90000111|90|Net|Tucker trawl 4.5m|4.5 m|4.5 sq m
90000110|90|Net|Tucker trawl 4m|4 m|4 sq m
90000113|90|Net|Tucker trawl 8m|8 m|8 sq m
90000049|90|Net|Vertical plankton tow|0.5 m x 75 um|Vertical plankton tow, round opening, 0.5 m diameter, 75 um mesh
90000023|90|Net||unknown|Net, type, mesh and size unspecified
90000114|90|OPC|OPC batfish||Optical Plankton Counter mounted on the Batfish
90000117|90|OPC|OPC bioness||Optical Plankton Counter mounted on the BIONESS
90000115|90|OPC|OPC laser||Optical Plankton Counter using laser light source
90000116|90|OPC|OPC vopc||Vertical Optical Plankton Counter
90000040|90|Plant specimen|Lichen||Lichen
90000041|90|Plant specimen|Moss||Moss
90000037|90|Pump|Challenger||Challenger in-situ pump
90000140|90|Pump|LVSP||Large volume surface pump
90000202|20|Pump|Masteflex Bevline||MAsterflex pump using bevline tubing, drawn from depth
90000043|90|Pump|Pump||Pump, unspecified
90000028|90|Pump|Pump Profiling System - BO||Pump profiling system, Biological Oceanography, BIO
90000119|90|Pump|Pump Profiling System - Metrology||Pump profiling system, Metrology, BIO
90000118|90|Pump|Ship's clean scientific seawater line||Ship's clean scientific seawater line, fixed depth pump mounted on ship's hull, plastic piping, used by the BIO Forward Lab System
90000051|90|Pump|Ship's fire hose||Ship's fire hose
90000047|90|Pump|Ship's seawater line||Ship's seawater line, fixed depth pump mounted on ship's hull
90000157|90|Pump|Surface pump||Surface pump, type unknown
90000164|20|secchi|secchi - black and white quarters||secchi disk with black and white quarters; used to gauge water clarity by measuring the depth at which it is no longer visible from the surface
90000158|90|special|epibenthic sled||ZOOPLANKTON DATA --special sled designed for thesis
90000120|90|special|NO3 Analyser||in development
90000213|20|Special|ROPOS suction apparatus||ROPOS ROV suction gear; similar to a vacuum cleaner; often used to collect surface sediment
90000121|90|special|sediment trap||
90000203|25|special|water column integrator|9m|9.1m long integrating sampling tygon tube (3cm inner diameter). End of tube kept above bottom by sounding weight hung 0.5m from tube. Integrating tube system lowered to bottom and water in tube trapped by closing a valve at top of tube. Multiple casts mixed in a carboy to minimize patchiness.
90000197|20|Submersible|PICES IV water samples||water samples taken through sampling valve inside the submersible
90000045|90|Surface sampler|Garrett screen||Sea surface microlayer sampler, Garrett screen, see Garrett. 1965.  Collection of slick-forming materials from the sea surface.  Limnol. Oceanogr.  10: 602-605
90000044|90|Surface sampler|Sea surface sampler||Sea surface sampler, type unspecified
90000165|90|THERMOMETER|MFD Minilogger||digital temperature/depth recorder
90000161|90|THERMOMETER|VEMCO electronic thermometer||electronic temperature logger, MFD
90000000|90|unknown|Unknown||Gear Used, Unknown
