"DATA_TYPE_SEQ","DATA_CENTER_CODE","DATA_RETRIEVAL_SEQ","ANALYSIS_SEQ","PRESERVATION_SEQ","SAMPLE_HANDLING_SEQ","STORAGE_SEQ","UNIT_SEQ","DESCRIPTION","CONVERSION_EQUATION","ORIGINALLY_ENTERED_BY","METHOD","PRIORITY","P_CODE","BODC_CODE"
90000320,20,90000195,90000022,90000027,90000013,90000011,90000033,"ice algae phaeo Holm-Hansen analysis method","","MARY","Areal_Phaeo_HH",1,"",""
90000319,20,90000194,90000022,90000027,90000013,90000011,90000033,"IceAlgaeArealChl Holm-Hansen analysis method","","MARY","Areal_chl_HH",1,"",""
90000932,20,90000310,90000121,90000064,90000038,90000024,90000018,"As-SedimentC19P8S6A21","","BCPIERRE","As-Sediment",1,"",""
90000934,20,90000310,90000121,90000064,90000040,90000024,90000018,"As-SedimentC20P8S6A21","","BCPIERRE","As-Sediment1",1,"",""
90000390,20,90000255,90000102,90000053,90000034,90000019,90000019,"As-filteredC18P1S2A14","","BCPIERRE","As-filtered1",1,"",""
90000391,20,90000255,90000091,90000053,90000017,90000018,90000019,"As-filteredC1P1S1A3","","BCPIERRE","As-filtered2",1,"",""
90000392,20,90000237,90000093,90000054,90000026,90000019,90000018,"As-particulateC10P2S2A5","","BCPIERRE","As-particulate1",1,"",""
90000393,20,90000237,90000093,90000054,90000034,90000019,90000018,"As-particulateC18P2S2A5","","BCPIERRE","As-particulate2",1,"",""
90000394,20,90000237,90000093,90000054,90000017,90000019,90000018,"As-particulateC1P2S2A5","","BCPIERRE","As-particulate3",1,"",""
90000395,20,90000237,90000093,90000054,90000019,90000019,90000018,"As-particulateC3P2S2A5","","BCPIERRE","As-particulate4",1,"",""
90000396,20,90000237,90000093,90000054,90000022,90000019,90000018,"As-particulateC6P2S2A5","","BCPIERRE","As-particulate5",1,"",""
90000397,20,90000237,90000093,90000054,90000023,90000019,90000018,"As-particulateC7P2S2A5","","BCPIERRE","As-particulate6",1,"",""
90000936,20,90000312,90000121,90000064,90000038,90000024,90000018,"Au-SedimentC19P8S6A21","","BCPIERRE","Au-Sediment",1,"",""
90001094,20,90000312,90000121,90000064,90000040,90000024,90000018,"Au-SedimentC20P8S6A21","","BCPIERRE","Au-Sediment1",1,"",""
90000412,20,90000258,90000102,90000053,90000034,90000018,90000019,"B-filteredC18P1S1A14","","BCPIERRE","B-filtered",1,"",""
90000415,20,90000218,90000093,90000054,90000034,90000019,90000027,"B-particulateC18P2S2A5","","BCPIERRE","B-particulate1",1,"",""
90000416,20,90000218,90000093,90000054,90000019,90000019,90000027,"B-particulateC3P2S2A5","","BCPIERRE","B-particulate2",1,"",""
90000417,20,90000218,90000093,90000054,90000022,90000019,90000027,"B-particulateC6P2S2A5","","BCPIERRE","B-particulate3",1,"",""
90000123,90,90000095,90000006,90000001,90000003,90000001,90000020,"Bacterial oxygen demand (BOD), 5 day incubation in the dark at room temperature","","BCMESD","BOD - 5 day",1,"",""
90000938,20,90000314,90000121,90000064,90000038,90000024,90000018,"Ba-SedimentC19P8S6A21","","BCPIERRE","Ba-Sediment",1,"",""
90000940,20,90000314,90000121,90000064,90000040,90000024,90000018,"Ba-SedimentC20P8S6A21","","BCPIERRE","Ba-Sediment1",1,"",""
90000398,20,90000282,90000102,90000053,90000034,90000018,90000019,"Ba-filteredC18P1S1A14","","BCPIERRE","Ba-filtered",1,"",""
90000399,20,90000246,90000093,90000054,90000026,90000019,90000018,"Ba-particulateC10P2S2A5","","BCPIERRE","Ba-particulate1",1,"",""
90000400,20,90000246,90000093,90000054,90000034,90000019,90000018,"Ba-particulateC18P2S2A5","","BCPIERRE","Ba-particulate2",1,"",""
90000401,20,90000246,90000093,90000054,90000017,90000019,90000018,"Ba-particulateC1P2S2A5","","BCPIERRE","Ba-particulate3",1,"",""
90000402,20,90000246,90000093,90000054,90000019,90000019,90000018,"Ba-particulateC3P2S2A5","","BCPIERRE","Ba-particulate4",1,"",""
90000403,20,90000246,90000093,90000054,90000022,90000019,90000018,"Ba-particulateC6P2S2A5","","BCPIERRE","Ba-particulate5",1,"",""
90000404,20,90000246,90000093,90000054,90000023,90000019,90000018,"Ba-particulateC7P2S2A5","","BCPIERRE","Ba-particulate6",1,"",""
90000071,90,90000062,90000002,90000002,90000002,90000002,90000019,"Barium / Filtered","","BCMESD","Ba_Filtered",1,"BAF$",""
90000338,20,90000199,90000071,90000002,90000011,90000002,90000061,"Barium / Unfiltered01",".137327","MARY","Ba_Unfiltered01",1,"",""
90000145,20,90000126,90000000,90000000,90000000,90000000,90000041,"Bacterial Production","","MARY","Bacterial Prod",1,"",""
90000942,20,90000316,90000121,90000064,90000038,90000024,90000018,"Be-SedimentC19P8S6A21","","BCPIERRE","Be-Sediment",1,"",""
90000944,20,90000316,90000121,90000064,90000040,90000024,90000018,"Be-SedimentC20P8S6A21","","BCPIERRE","Be-Sediment1",1,"",""
90000405,20,90000256,90000102,90000053,90000034,90000018,90000019,"Be-filteredC18P1S1A14","","BCPIERRE","Be-filtered",1,"",""
90000406,20,90000221,90000093,90000054,90000026,90000019,90000018,"Be-particulateC10P2S2A5","","BCPIERRE","Be-particulate1",1,"",""
90000407,20,90000221,90000093,90000054,90000034,90000019,90000018,"Be-particulateC18P2S2A5","","BCPIERRE","Be-particulate2",1,"",""
90000408,20,90000221,90000093,90000054,90000017,90000019,90000018,"Be-particulateC1P2S2A5","","BCPIERRE","Be-particulate3",1,"",""
90000409,20,90000221,90000093,90000054,90000019,90000019,90000018,"Be-particulateC3P2S2A5","","BCPIERRE","Be-particulate4",1,"",""
90000410,20,90000221,90000093,90000054,90000022,90000019,90000018,"Be-particulateC6P2S2A5","","BCPIERRE","Be-particulate5",1,"",""
90000411,20,90000221,90000093,90000054,90000023,90000019,90000018,"Be-particulateC7P2S2A5","","BCPIERRE","Be-particulate6",1,"",""
90000946,20,90000318,90000121,90000064,90000038,90000024,90000018,"Bi-SedimentC19P8S6A21","","BCPIERRE","Bi-Sediment",1,"",""
90000948,20,90000318,90000121,90000064,90000040,90000024,90000018,"Bi-SedimentC20P8S6A21","","BCPIERRE","Bi-Sediment1",1,"",""
90000413,20,90000223,90000093,90000054,90000034,90000019,90000018,"Bi-particulateC18P2S2A5","","BCPIERRE","Bi-particulate1",1,"",""
90000414,20,90000223,90000093,90000054,90000019,90000019,90000018,"Bi-particulateC3P2S2A5","","BCPIERRE","Bi-particulate2",1,"",""
90000067,90,90000058,90000002,90000002,90000002,90000002,90000015,"Butane","","BCMESD","Butane",1,"BUT$",""
90000032,90,90000024,90000037,90000002,90000002,90000002,90000012,"Ratio 13C:12C / Pee Dee Belemnite / Particulate Organic Carbon","","BCMESD","C13_POC",1,"C13P",""
90000027,90,90000021,90000002,90000002,90000002,90000002,90000012,"Ratio 13C:12C / Pee Dee Belemnite / Organic fraction of surface sediments","","BCMESD","C13_SedOrgC",1,"C13S",""
90000025,90,90000019,90000002,90000002,90000002,90000002,90000012,"Ratio 13C:12C / Pee Dee Belemnite / Total dissolved CO2 of seawater","","BCMESD","C13_TotalCO2",1,"C13C",""
90000084,90,90000075,90000002,90000002,90000002,90000002,90000014,"Carbon tetra chloride","","BCMESD","CCl4",1,"",""
90000336,20,90000075,90000070,90000001,90000011,90000001,90000060,"CCl4","divided pmol/L by the potential density","MARY","CCl4_PurgeTrap",1,"",""
90000669,20,90000293,90000109,90000001,90000001,90000001,90000019,"Coloured Dissolved Organic Matter / CTD","","MARY","CDOM_CTD",1,"",""
90001136,20,90000064,90000070,90000001,90000011,90000001,90000014,"CFC-12 to account for how Freon 12 is now described","","BUGDENJ","CFC-12",1,"",""
90000682,30,90000304,90000113,90000027,90000014,90000011,90000019,"Chlorophylls / Richards with Thompson 1952","","LAFLEURC","CHL_Richards_F",1,"CPHL",""
90000100,90,90000077,90000002,90000002,90000002,90000002,90000020,"Carbon Dioxide ","Concentration (umole / kg) = concentration (umoles /liter) / density (T,S)","BCMESD","CO2",2,"",""
90000950,20,90000320,90000121,90000064,90000038,90000024,90000018,"Ca-SedimentC19P8S6A21","","BCPIERRE","Ca-Sediment",1,"",""
90000952,20,90000320,90000121,90000064,90000040,90000024,90000018,"Ca-SedimentC20P8S6A21","","BCPIERRE","Ca-Sediment1",1,"",""
90000418,20,90000257,90000102,90000053,90000034,90000018,90000008,"Ca-filteredC18P1S1A14","","BCPIERRE","Ca-filtered",1,"",""
90000419,20,90000219,90000093,90000054,90000026,90000019,90000027,"Ca-particulateC10P2S2A5","/1000","BCPIERRE","Ca-particulate1",1,"",""
90000420,20,90000219,90000093,90000054,90000034,90000019,90000027,"Ca-particulateC18P2S2A5","/1000","BCPIERRE","Ca-particulate2",1,"",""
90000421,20,90000219,90000093,90000054,90000017,90000019,90000027,"Ca-particulateC1P2S2A5","/1000","BCPIERRE","Ca-particulate3",1,"",""
90000422,20,90000219,90000093,90000054,90000019,90000019,90000027,"Ca-particulateC3P2S2A5","/1000","BCPIERRE","Ca-particulate4",1,"",""
90000423,20,90000219,90000093,90000054,90000022,90000019,90000027,"Ca-particulateC6P2S2A5","/1000","BCPIERRE","Ca-particulate5",1,"",""
90000424,20,90000219,90000093,90000054,90000023,90000019,90000027,"Ca-particulateC7P2S2A5","/1000","BCPIERRE","Ca-particulate6",1,"",""
90000013,90,90000007,90000002,90000002,90000002,90000002,90000021,"Carbonate","","BCMESD","CaCO3",1,"CARB",""
90000057,90,90000049,90000002,90000002,90000002,90000002,90000021,"Calcium - acidified","","BCMESD","Ca_Acidified",1,"ACA$",""
90000016,90,90000010,90000002,90000002,90000002,90000002,90000010,"Calcium / Dissolved","","BCMESD","Ca_Dissolved",1,"CA++",""
90000221,20,90000138,90000048,90000000,90000000,90000000,90000053,"Calorimetry / Bomb Calorimeter","","BCPIERRE","Calorimeter_Bomb",1,"",""
90000270,20,90000120,90000050,90000002,90000002,90000002,90000020,"Alkalinity determined using Strickland and Parsons (1972) Method","","BCPIERRE","CarbAlkalinity_SP",1,"CALK",""
90000138,90,90000120,90000002,90000002,90000002,90000002,90000021,"Carbonate Alkalinity","","BCMESD","Carbonate_Alkalinity",1,"CALK",""
90000954,20,90000322,90000121,90000064,90000038,90000024,90000018,"Cd-SedimentC19P8S6A21","","BCPIERRE","Cd-Sediment",1,"",""
90000956,20,90000322,90000121,90000064,90000040,90000024,90000018,"Cd-SedimentC20P8S6A21","","BCPIERRE","Cd-Sediment1",1,"",""
90000425,20,90000254,90000089,90000053,90000026,90000018,90000019,"Cd-filteredC10P1S1A1","","BCPIERRE","Cd-filtered",1,"",""
90000426,20,90000254,90000089,90000053,90000028,90000018,90000019,"Cd-filteredC12P1S1A1","","BCPIERRE","Cd-filtered1",1,"",""
90000427,20,90000254,90000089,90000053,90000030,90000018,90000019,"Cd-filteredC14P1S1A1","","BCPIERRE","Cd-filtered2",1,"",""
90000428,20,90000254,90000089,90000053,90000032,90000018,90000019,"Cd-filteredC16P1S1A1","","BCPIERRE","Cd-filtered3",1,"",""
90000429,20,90000254,90000102,90000053,90000034,90000018,90000019,"Cd-filteredC18P1S1A14","","BCPIERRE","Cd-filtered4",1,"",""
90000430,20,90000254,90000089,90000053,90000017,90000018,90000019,"Cd-filteredC1P1S1A1","","BCPIERRE","Cd-filtered5",1,"",""
90000431,20,90000254,90000089,90000053,90000024,90000018,90000019,"Cd-filteredC8P1S1A1","","BCPIERRE","Cd-filtered6",1,"",""
90000432,20,90000233,90000093,90000054,90000026,90000019,90000018,"Cd-particulateC10P2S2A5","","BCPIERRE","Cd-particulate",1,"",""
90000433,20,90000233,90000093,90000054,90000034,90000019,90000018,"Cd-particulateC18P2S2A5","","BCPIERRE","Cd-particulate1",1,"",""
90000434,20,90000233,90000093,90000054,90000017,90000019,90000018,"Cd-particulateC1P2S2A5","","BCPIERRE","Cd-particulate2",1,"",""
90000435,20,90000233,90000093,90000054,90000019,90000019,90000018,"Cd-particulateC3P2S2A5","","BCPIERRE","Cd-particulate3",1,"",""
90000436,20,90000233,90000093,90000054,90000022,90000019,90000018,"Cd-particulateC6P2S2A5","","BCPIERRE","Cd-particulate4",1,"",""
90000437,20,90000233,90000093,90000054,90000023,90000019,90000018,"Cd-particulateC7P2S2A5","","BCPIERRE","Cd-particulate5",1,"",""
90000438,20,90000254,90000101,90000053,90000031,90000018,90000019,"Cd-unfilteredC15P1S1A13","","BCPIERRE","Cd-unfiltered",1,"",""
90000054,90,90000046,90000002,90000002,90000002,90000002,90000019,"Cadmium / Filtered","","BCMESD","Cd_Filtered",1,"CDF$",""
90000046,90,90000038,90000002,90000002,90000002,90000002,90000019,"Cadmium / Unfiltered","","BCMESD","Cd_Unfiltered",1,"CDT$",""
90000958,20,90000324,90000121,90000064,90000038,90000024,90000018,"Ce-SedimentC19P8S6A21","","BCPIERRE","Ce-Sediment",1,"",""
90000960,20,90000324,90000121,90000064,90000040,90000024,90000018,"Ce-SedimentC20P8S6A21","","BCPIERRE","Ce-Sediment1",1,"",""
90000068,90,90000059,90000002,90000002,90000002,90000002,90000006,"Cesium-137 / Error","","BCMESD","Cesium137_Error",1,"CERR",""
90000031,90,90000023,90000002,90000002,90000002,90000002,90000006,"Cesium-137 / Total","","BCMESD","Cesium137_Total",1,"CS$$",""
90000122,90,90000294,90000001,90000001,90000001,90000001,90000019,"Chlorophyll / Fluoresence voltage","","MARY","Chl_Fluor_Voltage",6,"FLU1",""
90000037,90,90000029,90000002,90000002,90000002,90000002,90000019,"Chlorophyll a / Unknown method; Concentration of chlorophyll-a {chl-a} per unit volume of the water column [particulate phase]","","BCMESD","Chl_a",1,"CPHL","CPHLZZXX"
90000191,30,90000294,90000017,90000001,90000001,90000001,90000019,"Chlorophyll a / CTD fluorometer; Concentration of chlorophyll-a {chl-a} per unit volume of the water column [particulate phase] by in-situ fluorometer and unspecified type of calibration applied","","BCPIERRE","Chl_a_CTD_Fluor",2,"FLU1","CPHLPR01"
90000158,20,90000294,90000000,90000000,90000000,90000000,90000019,"Chlorophyll a Fluorometry / FLU1; Concentration of chlorophyll-a {chl-a} per unit volume of the water column [particulate phase] by in-situ fluorometer and unspecified type of calibration applied","","BCPIERRE","Chl_a_Fluor_FLU1",2,"FLU1","CPHLPR01"
90001122,30,90000029,90000022,90000003,90000009,90000001,90000019,"Chlorophyll a / Holm-Hansen /fresh; Concentration of chlorophyll-a {chl-a} per unit volume of the water column [particulate >GF/F phase] by filtration, acetone extraction and fluorometry processed following the Holm-Hansen method and AZMP protocol. ","","DEVINEL","Chl_a_H-H_fresh",1,"CPHL",""
90000243,20,90000029,90000022,90000027,90000014,90000011,90000019,"Chlorophyll a / Holm-Hansen ; Prefiltered; Frozen before analysis","","BCPIERRE","Chl_a_Holm-Hansen_F",1,"CPHL",""
90000180,30,90000029,90000022,90000033,90000009,90000007,90000019,"Chlorophyll a / Holm-Hansen /sFrozen; Concentration of chlorophyll-a {chl-a} per unit volume of the water column [particulate >GF/F phase] by filtration, acetone extraction and fluorometry processed following the Holm-Hansen method and AZMP protocol.","","BCPIERRE","Chl_a_Holm-Hansen_sF",1,"CPHL","CPHLFLP1bc"
90000671,20,90000029,90000022,90000027,90000036,90000011,90000019,"Chlorophyll a / Holm-Hansen; filtered with GF/C with MgCO3","","MARY","Chl_a_HolmHansen_1",3,"CPHL",""
90000212,30,90000029,90000043,90000033,90000009,90000007,90000019,"Chlorophyll from phyto >5um","","DEVINEL","Chl_a_LG",1,"LCHL",""
90001124,30,90000029,90000043,90000003,90000009,90000001,90000019,"Chlorophyll from phyto >5um / fresh","","DEVINEL","Chl_a_LG_fresh",1,"LCHL",""
90000175,90,90000029,90000014,90000029,90000008,90000005,90000019,"Chlorophyll a / Methanol extraction; Concentration of chlorophyll-a {chl-a} per unit volume of the water column [particulate >GF/F phase] by filtration, methanol extraction and fluorometry","","BIOCHEM","Chl_a_Methanol",1,"CPHL","CPHLFMP1"
90001117,30,90000029,90000023,90000003,90000009,90000001,90000019,"Chlorophyll a / Welschmeyer /fresh; Concentration of chlorophyll-a {chl-a} per unit volume of the water column [particulate >GF/F phase] by filtration, acetone extraction and fluorometry processed following the Welschmeyer method and AZMP protocol.","","DEVINEL","Chl_a_Welsch_fresh",1,"CPH$",""
90000159,20,90000029,90000023,90000033,90000009,90000007,90000019,"Chlorophyll a / Welschmeyer /sFrozen; Concentration of chlorophyll-a {chl-a} per unit volume of the water column [particulate >GF/F phase] by filtration, acetone extraction and fluorometry processed following the Welschmeyer method and AZMP protocol.","","BCPIERRE","Chl_a_Welschmeyer_sF",1,"CPH$","CPHLFLP1bc"
90000156,20,90000135,90000000,90000000,90000000,90000000,90000019,"Chlorophyll b / CHB$","","BCPIERRE","Chl_b_CHB$",1,"CHB$",""
90000157,20,90000136,90000000,90000000,90000000,90000000,90000019,"Chlorophyll c / CHC$","","BCPIERRE","Chl_c_CHC$",1,"CHC$",""
90000082,90,90000073,90000002,90000002,90000002,90000002,90000020,"Chloride","","BCMESD","Chloride",1,"",""
90000149,20,90000073,90000000,90000000,90000000,90000000,90000044,"Chlorisity","","BCPIERRE","Chlorisity",1,"CHLS",""
90000962,20,90000326,90000121,90000064,90000038,90000024,90000018,"Co-SedimentC19P8S6A21","","BCPIERRE","Co-Sediment",1,"",""
90000964,20,90000326,90000121,90000064,90000040,90000024,90000018,"Co-SedimentC20P8S6A21","","BCPIERRE","Co-Sediment1",1,"",""
90000439,20,90000287,90000102,90000053,90000034,90000018,90000019,"Co-filteredC18P1S1A14","","BCPIERRE","Co-filtered",1,"",""
90000440,20,90000226,90000093,90000054,90000026,90000019,90000018,"Co-particulateC10P2S2A5","","BCPIERRE","Co-particulate",1,"",""
90000441,20,90000226,90000093,90000054,90000034,90000019,90000018,"Co-particulateC18P2S2A5","","BCPIERRE","Co-particulate1",1,"",""
90000442,20,90000226,90000093,90000054,90000017,90000019,90000018,"Co-particulateC1P2S2A5","","BCPIERRE","Co-particulate2",1,"",""
90000443,20,90000226,90000093,90000054,90000019,90000019,90000018,"Co-particulateC3P2S2A5","","BCPIERRE","Co-particulate3",1,"",""
90000444,20,90000226,90000093,90000054,90000022,90000019,90000018,"Co-particulateC6P2S2A5","","BCPIERRE","Co-particulate4",1,"",""
90000445,20,90000226,90000093,90000054,90000023,90000019,90000018,"Co-particulateC7P2S2A5","","BCPIERRE","Co-particulate5",1,"",""
90000050,90,90000042,90000002,90000002,90000002,90000002,90000019,"Cobalt / Filtered","","BCMESD","Co_Filtered",1,"COF$",""
90000042,90,90000034,90000002,90000002,90000002,90000002,90000019,"Cobalt / Unfiltered","","BCMESD","Co_Unfiltered",1,"COT$",""
90000966,20,90000328,90000121,90000064,90000038,90000024,90000018,"Cr-SedimentC19P8S6A21","","BCPIERRE","Cr-Sediment",1,"",""
90000968,20,90000328,90000121,90000064,90000040,90000024,90000018,"Cr-SedimentC20P8S6A21","","BCPIERRE","Cr-Sediment1",1,"",""
90000446,20,90000253,90000102,90000053,90000034,90000018,90000019,"Cr-filteredC18P1S1A14","","BCPIERRE","Cr-filtered",1,"",""
90000447,20,90000228,90000093,90000054,90000026,90000019,90000018,"Cr-particulateC10P2S2A5","","BCPIERRE","Cr-particulate",1,"",""
90000448,20,90000228,90000093,90000054,90000034,90000019,90000018,"Cr-particulateC18P2S2A5","","BCPIERRE","Cr-particulate1",1,"",""
90000449,20,90000228,90000093,90000054,90000017,90000019,90000018,"Cr-particulateC1P2S2A5","","BCPIERRE","Cr-particulate2",1,"",""
90000450,20,90000228,90000093,90000054,90000019,90000019,90000018,"Cr-particulateC3P2S2A5","","BCPIERRE","Cr-particulate3",1,"",""
90000451,20,90000228,90000093,90000054,90000022,90000019,90000018,"Cr-particulateC6P2S2A5","","BCPIERRE","Cr-particulate4",1,"",""
90000452,20,90000228,90000093,90000054,90000023,90000019,90000018,"Cr-particulateC7P2S2A5","","BCPIERRE","Cr-particulate5",1,"",""
90000070,90,90000061,90000002,90000002,90000002,90000002,90000019,"Chromium / Filtered","","BCMESD","Cr_Filtered",1,"CRF$",""
90000077,90,90000068,90000002,90000002,90000002,90000002,90000019,"Chromium / Unfiltered","","BCMESD","Cr_Unfiltered",1,"CRT$",""
90000970,20,90000330,90000121,90000064,90000038,90000024,90000018,"Cu-SedimentC19P8S6A21","","BCPIERRE","Cu-Sediment",1,"",""
90000972,20,90000330,90000121,90000064,90000040,90000024,90000018,"Cu-SedimentC20P8S6A21","","BCPIERRE","Cu-Sediment1",1,"",""
90000453,20,90000274,90000089,90000053,90000026,90000018,90000019,"Cu-filteredC10P1S1A1","","BCPIERRE","Cu-filtered",1,"",""
90000454,20,90000274,90000089,90000053,90000027,90000018,90000019,"Cu-filteredC11P1S1A1","","BCPIERRE","Cu-filtered1",1,"",""
90000455,20,90000274,90000089,90000053,90000028,90000018,90000019,"Cu-filteredC12P1S1A1","","BCPIERRE","Cu-filtered2",1,"",""
90000456,20,90000274,90000089,90000053,90000030,90000018,90000019,"Cu-filteredC14P1S1A1","","BCPIERRE","Cu-filtered3",1,"",""
90000457,20,90000274,90000089,90000053,90000032,90000018,90000019,"Cu-filteredC16P1S1A1","","BCPIERRE","Cu-filtered4",1,"",""
90000458,20,90000274,90000102,90000053,90000034,90000018,90000019,"Cu-filteredC18P1S1A14","","BCPIERRE","Cu-filtered5",1,"",""
90000459,20,90000274,90000089,90000053,90000017,90000018,90000019,"Cu-filteredC1P1S1A1","","BCPIERRE","Cu-filtered6",1,"",""
90000460,20,90000274,90000089,90000053,90000024,90000018,90000019,"Cu-filteredC8P1S1A1","","BCPIERRE","Cu-filtered7",1,"",""
90000461,20,90000227,90000093,90000054,90000026,90000019,90000018,"Cu-particulateC10P2S2A5","","BCPIERRE","Cu-particulate",1,"",""
90000462,20,90000227,90000093,90000054,90000034,90000019,90000018,"Cu-particulateC18P2S2A5","","BCPIERRE","Cu-particulate1",1,"",""
90000463,20,90000227,90000093,90000054,90000017,90000019,90000018,"Cu-particulateC1P2S2A5","","BCPIERRE","Cu-particulate2",1,"",""
90000464,20,90000227,90000093,90000054,90000019,90000019,90000018,"Cu-particulateC3P2S2A5","","BCPIERRE","Cu-particulate3",1,"",""
90000465,20,90000227,90000093,90000054,90000022,90000019,90000018,"Cu-particulateC6P2S2A5","","BCPIERRE","Cu-particulate4",1,"",""
90000466,20,90000227,90000093,90000054,90000023,90000019,90000018,"Cu-particulateC7P2S2A5","","BCPIERRE","Cu-particulate5",1,"",""
90000467,20,90000274,90000101,90000053,90000031,90000018,90000019,"Cu-unfilteredC15P1S1A13","","BCPIERRE","Cu-unfiltered",1,"",""
90000052,90,90000044,90000002,90000002,90000002,90000002,90000019,"Copper / Filtered","","BCMESD","Cu_Filtered",1,"CUF$",""
90000044,90,90000036,90000002,90000002,90000002,90000002,90000019,"Copper / Unfiltered","","BCMESD","Cu_Unfiltered",1,"CUT$",""
90000265,20,90000150,90000057,90000002,90000013,90000012,90000019,"DNA_1","","KennedyM","DNA_1",1,"",""
